id,name
93019,Adam Bhala Lough
545021,Moshé Mizrahi
30099,Charles Barton
126462,James Hill
142857,Çağan Irmak
205639,Jim McKay
121760,David Beaird
91518,Robert Jan Westdijk
581423,Lloyd Kramer
72891,Amando de Ossorio
38576,Al Corley
1116801,Sue Corcoran
1064376,Jason Miller
212687,Daniel Calparsoro
5369,George C. Wolfe
589163,Mink 
1134304,Judy Irving
1081564,David Ondříček
33156,James Merendino
64755,Trent Carlson
126125,Bill Plympton
57895,Robert Harmon
109695,Jeffrey W. Byrd
44847,David Anspaugh
140151,William Bindley
124971,Éléonore Faucher
1055778,James F. Collier
81107,Toshiaki Toyoda
1270,Charles Martin Smith
96371,Mark Wexler
31654,Chris Smith
56533,Claudio Fäh
1109533,Keva Rosenfeld
42301,Damian Harris
30123,Lee Grant
6390,Curtiss Clayton
234495,Giacomo Battiato
118180,Bruce Weber
85496,Tony Piccirillo
67813,Baltasar Kormákur
99496,Raymond De Felitta
77104,Charles Sturridge
942084,Mark Illsley
129825,Richard Jobson
186654,Michael Gilio
1106142,Jae-yeon Yun
1032,Martin Scorsese
62020,Jack Sholder
234859,Mark Milgard
63709,Craig R. Baxley
112002,Greg Whiteley
19457,Mark Robson
121471,Gustavo Loza
10790,Sam Wood
101444,Scott McGehee
146949,Jonathan Nossiter
543371,Jessica Sanders
307546,Jim Hanon
120552,Hy Averback
105650,Amol Palekar
15602,Fernando León de Aranoa
60438,Michael Landon Jr.
213341,Milton Katselas
27920,Charles Frend
85309,Kihachi Okamoto
108497,David Caffrey
1015234,Trish Doolan
20412,Michael Anderson
107639,Juliusz Machulski
87510,Carlos Sorin
116155,Ere Kokkonen
93561,Aleksi Mäkelä
35155,John Gray
1008379,Amanda Micheli
91610,Michael Blieden
557094,Paule Baillargeon
14606,Albert Dupontel
84982,Rob Spera
1495665,Todd Williams
25161,Marcel Carné
285385,Gaby Dellal
18596,Taylor Hackford
1724,Roger Spottiswoode
5125,Fatih Akin
82769,Craig Chester
28399,Michael Cooney
85076,John Hazlett
74971,Jem Cohen
1032103,Rakesh Roshan
5015,Brian W. Cook
11572,Carl Theodor Dreyer
222298,Matti Kassila
108662,Sean Stanek
2226,Sydney Pollack
23724,Patrice Chéreau
94011,Bill Melendez
9789,Robert Altman
93025,Nancy Savoca
9956,Chris Marker
148981,Robert Gliński
113855,Xavier Giannoli
97755,Charles Burnett
238628,Jim Hickey
141475,Billy Corben
56212,Eric Khoo
584335,Daniel Burman
112292,James Longley
222316,Mikko Niskanen
143671,Aleksey Fedorchenko
1037963,Sunu Gonera
72496,Yôji Yamada
16745,Melville Shavelson
106239,Emile de Antonio
108929,Grace Lee
230335,Jeff Lipsky
93136,Charles Binamé
115893,Stanley Nelson
552978,Robert Krause
19012,Davis Guggenheim
921570,Julia Loktev
84990,Isao Yukisada
1373458,Harry Moses
70235,Marco Tullio Giordana
2559,Henri-Georges Clouzot
66983,Tom Kalin
1080863,Dana Ranga
129952,Sean McNamara
90178,Deborah Scranton
73494,Desmond Nakano
101811,David Markey
49855,Gaël Morel
126292,J.M. Kenny
86662,David Sington
50767,Craig Gillespie
2087,Richard Fleischer
91452,Amir Bar-Lev
95143,Dan Klores
92438,Bruce Pittman
389,Alison Eastwood
81874,Julie Gavras
131468,William Greaves
1035867,Tom Thurman
129299,Andrew Wagner
431682,Pierre Rehov
67314,Rick Ray
77656,Gary Hustwit
144195,Christoffer Boe
15009,Justin Theroux
133526,Laura Mañá
1018728,Jorge Gaggero
109692,David E. Talbert
119367,Robert Cary
113525,Richard Robbins
83403,Malik Bader
56836,Raymond Depardon
8500,John Ford
119494,Weijun Chen
77300,Michael Schultz
50325,Miguel Alexandre
586066,Doug Block
23393,Barbet Schroeder
1382224,Ido Haar
1374606,David Smith
69838,Chen Shi-Zheng
1142891,Jason Kohn
57492,Morgan Spurlock
26595,Michael Verhoeven
141978,Olli Saarela
320719,Daniel Bitton
87379,Rob VanAlkemade
1077301,Kazuo Hara
123199,Ann Hui
115611,Adam Yauch
71797,Alex Gibney
545092,Tahmineh Milani
223806,Xan Cassavetes
108481,JP Siili
7145,Michael Lehmann
991868,Ari Sandel
959211,Michèle Ohayon
225738,Yoshimitsu Morita
66548,Paul Weiland
1557688,Gabylu Lara
29783,Fred Durst
77911,Deb Hagan
76230,Diane English
63088,Jason Todd Ipson
1795130,Craig E. Serling
109555,Gualtiero Jacopetti
61463,Frank Sudol
69167,Juzo Itami
1903872,Saam Farahmand
80602,Tyler Perry
107395,Nick Willing
1153097,Maja Classen
64815,Robert Iscove
113607,Daniel Fridell
1191376,Eric Nazarian
8841,Donald Crisp
1094821,Matthew Ogens
112201,Sophie Fiennes
544818,Michael Rubbo
73875,Toa Fraser
99667,Alexander Hall
86378,Alfredo De Villa
145491,Yeşim Ustaoğlu
1026383,Lodewijk Crijns
937247,Vladan Nikolić
1168004,Jacques Sarasin
229566,Laurent de Bartillat
144422,Edet Belzberg
1445413,Ilya Chaiken
84827,Steven de Jong
138006,Frederick Wiseman
116096,Susan Dynner
42205,Jag Mundhra
117662,Roland Mesa
68032,Steve Zacharias
89932,Benjamin Stoloff
956123,Sergio Véjar
1104819,Maciej Ślesicki
77177,Fuminori Kizaki
558007,Patrick Keiller
88026,Bryan Goeres
11593,Rudolph Maté
932957,Dane Cannon
38393,Marcel Pagnol
1055512,Caroline Suh
999545,Dave Edwards
1037092,Cristian Nemescu
88648,Robert N. Bradbury
19416,Ondi Timoner
1137217,Scott L. Flynn
223066,Auli Mantila
939153,María Ripoll
1725998,Stefan Marc
980235,Jacques Meny
1035696,Matthiew Klinck
1072285,Godfrey Cheshire
1167349,Jerry Aronson
105746,Philip Spink
1138117,Oskari Pastila
21290,Dave Foley
63198,Danny Draven
57359,Neal Israel
927798,Howard Alk
72344,Asger Leth
84618,Tom Gustafson
95568,Peter Watkins
64534,Isabelle Mergault
35785,Siddharth Anand
80170,Tadeusz Chmielewski
56380,Sergei Dvortsevoy
939271,Raquel Cepeda
145612,Guy Moshe
87055,Karen Disher
103679,Per Åhlin
1032100,Jamie Meltzer
585763,Rumiko Takahashi
1278502,Alan G. Parker
82618,Mike Robe
55983,Jim Henson
543946,Hall Bartlett
37451,Jean-Jacques Beineix
72908,Edgar Reitz
1122764,Yariv Mozer
21415,Robby Henson
76349,Bradley Beesley
116750,Yoshiaki Iwasaki
34614,Ariane Mnouchkine
96446,Kevin Rafferty
92961,Jake Clennell
3831,Jean-Pierre Melville
68750,Robert Townsend
94261,Russell P. Marleau
72133,Vicente Amorim
5917,Ernie Barbarash
227842,Susanna Nicchiarelli
1590431,Julie Shaw
89669,A. Edward Sutherland
40864,Andrew Bujalski
15705,Joseph Pevney
89154,Prabhu Deva
89814,R. J. Cutler
29627,Charles Lamont
116584,Pablo Stoll
1083127,Alexander Olch
33433,Scott Hicks
21377,Peter Medak
125209,Pilar Miró
130789,Keven McAlester
1041478,Heddy Honigmann
126971,Marco Risi
77269,John Crowley
61244,Robert Vince
1103,Bill Duke
95723,Richard Wallace
